epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,18443.4,0.96591,0.86761,1.09021,0.83831,0.78913,0.8469,0.68031,0.82673,0.64406,0.97733,2.94644e-05,2.94644e-05,2.94644e-05
40,18570.9,0.94883,0.82885,1.07345,0.84377,0.78946,0.84933,0.68151,0.82398,0.64059,0.97653,2.71082e-05,2.71082e-05,2.71082e-05
41,18696.6,0.96523,0.87181,1.08732,0.83757,0.79201,0.84808,0.6807,0.8243,0.64487,0.97531,2.4752e-05,2.4752e-05,2.4752e-05
42,18822.2,0.96565,0.89989,1.08796,0.82973,0.794,0.84716,0.67764,0.82967,0.64924,0.97719,2.23958e-05,2.23958e-05,2.23958e-05
43,18947.7,0.9336,0.81601,1.05104,0.82171,0.79789,0.84715,0.6741,0.8365,0.65243,0.97901,2.00396e-05,2.00396e-05,2.00396e-05
44,19072.9,0.95766,0.83726,1.04554,0.81211,0.79967,0.84594,0.67113,0.84258,0.65426,0.98167,1.76834e-05,1.76834e-05,1.76834e-05
45,19211.8,0.95868,0.85456,1.06328,0.80759,0.80107,0.84652,0.66861,0.84605,0.65649,0.9827,1.53272e-05,1.53272e-05,1.53272e-05
46,19351.9,0.9032,0.75994,1.04483,0.79838,0.80292,0.84689,0.66925,0.84583,0.65708,0.98232,1.2971e-05,1.2971e-05,1.2971e-05
47,19485,0.94787,0.77327,1.07903,0.79263,0.80824,0.84583,0.66783,0.84408,0.65829,0.9816,1.06148e-05,1.06148e-05,1.06148e-05
48,19626.5,0.94511,0.77362,1.05607,0.79118,0.81042,0.84623,0.67026,0.84449,0.65926,0.98147,8.2586e-06,8.2586e-06,8.2586e-06
49,19767.6,0.9041,0.77015,1.04667,0.79002,0.80966,0.84687,0.66807,0.84423,0.65887,0.98096,5.9024e-06,5.9024e-06,5.9024e-06
50,19903.2,0.8838,0.76764,1.03975,0.77896,0.81397,0.84527,0.66947,0.84546,0.66169,0.98099,3.5462e-06,3.5462e-06,3.5462e-06
